mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
7,Jul,Weekend,6,5,6,5-6,P6
7,Jul,Weekend,7,6,7,6-7,P6
7,Jul,Weekend,8,7,8,7-8,P6
7,Jul,Weekend,9,8,9,8-9,P6
7,Jul,Weekend,10,9,10,9-10,P6
7,Jul,Weekend,11,10,11,10-11,P6
7,Jul,Weekend,12,11,12,11-12,P6
7,Jul,Weekend,13,12,13,12-13,P6
7,Jul,Weekend,14,13,14,13-14,P6
7,Jul,Weekend,15,14,15,14-15,P6
7,Jul,Weekend,16,15,16,15-16,P6
7,Jul,Weekend,17,16,17,16-17,P6
7,Jul,Weekend,18,17,18,17-18,P6
7,Jul,Weekend,19,18,19,18-19,P6
7,Jul,Weekend,20,19,20,19-20,P6
7,Jul,Weekend,21,20,21,20-21,P6
7,Jul,Weekend,22,21,22,21-22,P6
7,Jul,Weekend,23,22,23,22-23,P6
7,Jul,Weekend,24,23,24,23-24,P6
8,Aug,Weekday,1,0,1,0-1,P6
8,Aug,Weekday,2,1,2,1-2,P6
8,Aug,Weekday,3,2,3,2-3,P6
8,Aug,Weekday,4,3,4,3-4,P6
8,Aug,Weekday,5,4,5,4-5,P6
8,Aug,Weekday,6,5,6,5-6,P6
8,Aug,Weekday,7,6,7,6-7,P6
8,Aug,Weekday,8,7,8,7-8,P6
8,Aug,Weekday,9,8,9,8-9,P4
8,Aug,Weekday,10,9,10,9-10,P3
8,Aug,Weekday,11,10,11,10-11,P3
8,Aug,Weekday,12,11,12,11-12,P3
8,Aug,Weekday,13,12,13,12-13,P3
8,Aug,Weekday,14,13,14,13-14,P3
8,Aug,Weekday,15,14,15,14-15,P4
8,Aug,Weekday,16,15,16,15-16,P4
8,Aug,Weekday,17,16,17,16-17,P4
8,Aug,Weekday,18,17,18,17-18,P4
8,Aug,Weekday,19,18,19,18-19,P3
8,Aug,Weekday,20,19,20,19-20,P3
8,Aug,Weekday,21,20,21,20-21,P3
8,Aug,Weekday,22,21,22,21-22,P3
8,Aug,Weekday,23,22,23,22-23,P4
8,Aug,Weekday,24,23,24,23-24,P4
8,Aug,Weekend,1,0,1,0-1,P6
8,Aug,Weekend,2,1,2,1-2,P6
8,Aug,Weekend,3,2,3,2-3,P6
8,Aug,Weekend,4,3,4,3-4,P6
8,Aug,Weekend,5,4,5,4-5,P6
8,Aug,Weekend,6,5,6,5-6,P6
8,Aug,Weekend,7,6,7,6-7,P6
8,Aug,Weekend,8,7,8,7-8,P6
8,Aug,Weekend,9,8,9,8-9,P6
8,Aug,Weekend,10,9,10,9-10,P6
8,Aug,Weekend,11,10,11,10-11,P6
8,Aug,Weekend,12,11,12,11-12,P6
8,Aug,Weekend,13,12,13,12-13,P6
8,Aug,Weekend,14,13,14,13-14,P6
8,Aug,Weekend,15,14,15,14-15,P6
8,Aug,Weekend,16,15,16,15-16,P6
8,Aug,Weekend,17,16,17,16-17,P6
